Bin_name(1)         nC[-](2)            nH[-](3)            nO[-](4)            H/C[-](5)           MW[kg/kmol](6)      density[kg/m3](7)   mass[kg](8)         volume[m3](9)       Dsph[m](10)         Dcol[m](11)         Dpp[m](12)          Df[-](13)           numPP[#](14)        Bin_section(15)     
BIN20BJ             1.024000e+07        2.047999e+06        0.000000e+00        1.999999e-01        1.250570e+08        1.662500e+03        2.076497e-19        1.249021e-22        6.201884e-08        2.007293e-07        1.052973e-08        1.800000            249.3               20                  
BIN20CJ             1.024000e+07        5.120000e+05        0.000000e+00        5.000000e-02        1.235087e+08        1.662500e+03        2.050788e-19        1.233557e-22        6.176184e-08        1.993448e-07        1.052973e-08        1.800000            246.2               20                  
BIN21AJ             2.048000e+07        6.143999e+06        0.000000e+00        3.000000e-01        2.521784e+08        1.700000e+03        4.187272e-19        2.463101e-22        7.777282e-08        2.963691e-07        1.052973e-08        1.800000            502.7               21                  
BIN21BJ             2.048000e+07        4.095999e+06        0.000000e+00        2.000000e-01        2.501140e+08        1.700000e+03        4.152994e-19        2.442937e-22        7.756002e-08        2.950188e-07        1.052973e-08        1.800000            498.6               21                  
BIN21CJ             2.048000e+07        1.024000e+06        0.000000e+00        5.000000e-02        2.470175e+08        1.700000e+03        4.101577e-19        2.412692e-22        7.723861e-08        2.929840e-07        1.052973e-08        1.800000            492.5               21                  
BIN22AJ             4.096000e+07        1.228800e+07        0.000000e+00        3.000000e-01        5.043569e+08        1.737500e+03        8.374543e-19        4.819881e-22        9.727754e-08        4.355839e-07        1.052973e-08        1.800000            1005.5              22                  
BIN22BJ             4.096000e+07        8.191999e+06        0.000000e+00        2.000000e-01        5.002281e+08        1.737500e+03        8.305987e-19        4.780424e-22        9.701136e-08        4.335993e-07        1.052973e-08        1.800000            997.3               22                  
BIN22CJ             4.096000e+07        2.048000e+06        0.000000e+00        5.000000e-02        4.940349e+08        1.737500e+03        8.203154e-19        4.721240e-22        9.660935e-08        4.306087e-07        1.052973e-08        1.800000            984.9               22                  
BIN23AJ             8.192000e+07        2.457600e+07        0.000000e+00        3.000000e-01        1.008714e+09        1.775000e+03        1.674909e-18        9.436105e-22        1.216928e-07        6.401926e-07        1.052973e-08        1.800000            2011.0              23                  
BIN23BJ             8.192000e+07        1.638400e+07        0.000000e+00        2.000000e-01        1.000456e+09        1.775000e+03        1.661197e-18        9.358859e-22        1.213598e-07        6.372758e-07        1.052973e-08        1.800000            1994.5              23                  
BIN23CJ             8.192000e+07        4.096000e+06        0.000000e+00        5.000000e-02        9.880699e+08        1.775000e+03        1.640631e-18        9.242990e-22        1.208569e-07        6.328804e-07        1.052973e-08        1.800000            1969.8              23                  
BIN24AJ             1.638400e+08        4.915200e+07        0.000000e+00        3.000000e-01        2.017427e+09        1.812500e+03        3.349817e-18        1.848175e-21        1.522585e-07        9.409132e-07        1.052973e-08        1.800000            4021.9              24                  
BIN24BJ             1.638400e+08        3.276800e+07        0.000000e+00        2.000000e-01        2.000912e+09        1.812500e+03        3.322395e-18        1.833046e-21        1.518419e-07        9.366262e-07        1.052973e-08        1.800000            3989.0              24                  
BIN24CJ             1.638400e+08        8.192000e+06        0.000000e+00        5.000000e-02        1.976140e+09        1.812500e+03        3.281262e-18        1.810351e-21        1.512126e-07        9.301661e-07        1.052973e-08        1.800000            3939.6              24                  
BIN25AJ             3.276800e+08        9.830400e+07        0.000000e+00        3.000000e-01        4.034855e+09        1.850000e+03        6.699635e-18        3.621424e-21        1.905286e-07        1.382893e-06        1.052973e-08        1.800000            8043.9              25                  
BIN25BJ             3.276800e+08        6.553600e+07        0.000000e+00        2.000000e-01        4.001825e+09        1.850000e+03        6.644790e-18        3.591778e-21        1.900073e-07        1.376592e-06        1.052973e-08        1.800000            7978.0              25                  
BIN25CJ             3.276800e+08        1.638400e+07        0.000000e+00        5.000000e-02        3.952280e+09        1.850000e+03        6.562523e-18        3.547310e-21        1.892199e-07        1.367097e-06        1.052973e-08        1.800000            7879.2              25                  
