dummy(1)            x[cm](2)            T[K](3)             v[cm/s](4)          m[kg/m2/s](5)       rho[kg/m3](6)       fv(L)[-](7)         x(L)[-](8)          w(L)[-](9)          rho(L)[kg/m3](10)   N(L)[#/cm3](11)     H/C(L)[-](12)       O/C(L)[-](13)       O/H(L)[-](14)       fv(S)[-](15)        x(S)[-](16)         w(S)[-](17)         rho(S)[kg/m3](18)   N(S)[#/cm3](19)     H/C(S)[-](20)       O/C(S)[-](21)       O/H(S)[-](22)       
0                   1.035714286e-01     1.930272177e+03     3.535013276e+01     6.683117221e-02     1.890549398e-01     3.267522241e-11     1.139291481e-09     2.620097429e-07     4.953423616e-08     4.331613817e+09     1.549234985e-01     0.000000000e+00     0.000000000e+00     6.246924401e-11     5.428795443e-08     4.956435739e-07     9.370386601e-08     2.064041182e+11     3.841154549e-01     0.000000000e+00     0.000000000e+00     
0                   1.071428571e-01     1.934163823e+03     3.538051105e+01     6.672960305e-02     1.886055375e-01     3.540514877e-11     1.260144225e-09     2.844740850e-07     5.365338771e-08     4.781458922e+09     1.546639944e-01     0.000000000e+00     0.000000000e+00     6.641628261e-11     5.757705083e-08     5.282157948e-07     9.962442392e-08     2.184688846e+11     3.840368276e-01     0.000000000e+00     0.000000000e+00     
0                   1.142857143e-01     1.939636223e+03     3.538894819e+01     6.651845390e-02     1.879639190e-01     4.098290412e-11     1.515447269e-09     3.301580793e-07     6.205780646e-08     5.733950963e+09     1.551648389e-01     0.000000000e+00     0.000000000e+00     7.479713529e-11     6.445423725e-08     5.969002112e-07     1.121957029e-07     2.438735041e+11     3.835300980e-01     0.000000000e+00     0.000000000e+00     
0                   1.214285714e-01     1.943136950e+03     3.535095557e+01     6.629648842e-02     1.875380378e-01     4.668549438e-11     1.783246797e-09     3.766715541e-07     7.064024415e-08     6.735060074e+09     1.562994710e-01     0.000000000e+00     0.000000000e+00     8.349903062e-11     7.147641625e-08     6.678567580e-07     1.252485459e-07     2.699558794e+11     3.825440831e-01     0.000000000e+00     0.000000000e+00     
0                   1.285714286e-01     1.945313094e+03     3.528005807e+01     6.606358341e-02     1.872547468e-01     5.251623278e-11     2.061396431e-09     4.240647593e-07     7.940813914e-08     7.776880776e+09     1.576992443e-01     0.000000000e+00     0.000000000e+00     9.229500027e-11     7.846253279e-08     7.393270544e-07     1.384425004e-07     2.960099055e+11     3.811520697e-01     0.000000000e+00     0.000000000e+00     
0                   1.357142857e-01     1.946571713e+03     3.518469433e+01     6.581965765e-02     1.870690052e-01     5.848018857e-11     2.348216539e-09     4.723977136e-07     8.837097034e-08     8.853218154e+09     1.591509023e-01     0.000000000e+00     0.000000000e+00     1.009892117e-10     8.526256912e-08     8.097750741e-07     1.514838175e-07     3.214559271e+11     3.794564203e-01     0.000000000e+00     0.000000000e+00     
0                   1.428571429e-01     1.947177485e+03     3.507031254e+01     6.556465784e-02     1.869520203e-01     6.458740691e-11     2.642545593e-09     5.217658420e-07     9.754517832e-08     9.959794581e+09     1.605371483e-01     0.000000000e+00     0.000000000e+00     1.094114008e-10     9.175174140e-08     8.778567937e-07     1.641171012e-07     3.458137105e+11     3.775520226e-01     0.000000000e+00     0.000000000e+00     
0                   1.571428571e-01     1.946963246e+03     3.479547182e+01     6.502128509e-02     1.868670884e-01     7.732440325e-11     3.252942975e-09     6.243476357e-07     1.166700248e-07     1.226174071e+10     1.629472970e-01     0.000000000e+00     0.000000000e+00     1.249916039e-10     1.034764322e-07     1.003319565e-06     1.874874059e-07     3.900471640e+11     3.733293969e-01     0.000000000e+00     0.000000000e+00     
0                   1.714285714e-01     1.945675940e+03     3.447578256e+01     6.443329923e-02     1.868943776e-01     9.061851668e-11     3.881340878e-09     7.310353225e-07     1.366263916e-07     1.464012245e+10     1.647315083e-01     0.000000000e+00     0.000000000e+00     1.386462104e-10     1.134832767e-07     1.112763895e-06     2.079693156e-07     4.280502844e+11     3.691767500e-01     0.000000000e+00     0.000000000e+00     
0                   1.857142857e-01     1.943702737e+03     3.411912020e+01     6.380062995e-02     1.869937723e-01     1.044476134e-10     4.523242346e-09     8.416488802e-07     1.573830991e-07     1.707864621e+10     1.659896441e-01     0.000000000e+00     0.000000000e+00     1.502463735e-10     1.217680002e-07     1.205224952e-06     2.253695602e-07     4.597659017e+11     3.653169997e-01     0.000000000e+00     0.000000000e+00     
